Title,Manufacturer,Author,Qualifier,Year,ModelNo,Rarity,CartType,MachineType,LController,RController,MD5,HelpUri
Tank Command,Froggo,,,1988,FG2002,Rare,A78S4,A7800NTSC,,,5c4f752371a523f15e9980fea73b874d,http://www.atariage.com/manual_thumbs.html?SoftwareID=2180
Tanks But No Tanks,Zimag,,,,707-111,Rare,,A2600NTSC,,,fa6fe97a10efb9e74c0b5a816e6e1958,
Tanks DX,,Charles Morgan,Hack,,,,,A2600NTSC,,,082fdc8bd47fef01482ce5883c4ffdb8,
Tape Worm,Spectravideo,,,1982,SA-204,Rare,,A2600NTSC,,,de3d0e37729d85afcb25a8d052a6e236,
Tape Worm,Spectravideo,,,,,,,A2600PAL,,,8ed73106e2f42f91447fb90b6f0ea4a4,
Tapper,Sega,,,1983,010-01,Extremely Rare,,A2600NTSC,,,c0d2434348de72fa6edcc6d8e40f28d7,
Task Force,Froggo,,,1987,FG 1003,Rare,,A2600NTSC,,,0c35806ff0019a270a7acae68de89d28,
Tax Avoiders,American Videogame,,,1982,,Rare,,A2600NTSC,,,a1ead9c181d67859aa93c44e40f1709c,
Taz,Atari,,,,CX2699,Rare,,A2600NTSC,,,7574480ae2ab0d282c887e9015fdb54c,
Taz,Atari,,,,CX2699,Rare,,A2600NTSC,,,4702d8d9b48a332724af198aeac9e469,
Tazer The Fish,,,Homebrew,,,,,A2600NTSC,,,ab60ea7b707c58d356cad858eb18db43,
Teddy Apple,HomeVision,,,,,,,A2600PAL,,,8c2fa33048f055f38358d51eefe417db,
Telepathy,Atari,,Prototype,,,,,A2600NTSC,,,3d7aad37c55692814211c8b590a0334c,
Teller-Jonglieren! (a.k.a. Tanzende Teller),Starsoft,,,,,,,A2600PAL,,,203b1efc6101d4b9d83bb6cc1c71f67f,
Tempest,Atari,Carla Meninsky,Prototype,1983,,,,A2600NTSC,,,c830f6ae7ee58bcc2a6712fb33e92d55,
Tennis,Activision,Alan Miller,,1981,AG-007,Common,,A2600NTSC,,,42cdd6a9e42a3639e190722b8ea3fc51,
Tennis,Activision,Alan Miller,,1981,AG-007,Common,,A2600NTSC,,,aca09ffea77174b148b96b205109db4d,
Tennis,Activision,Alan Miller,,1981,AG-007,Common,,A2600NTSC,,,961112b74a920a5242e233480326c356,
Tennis,Activision,Alan Miller,,1981,AG-007,Common,,A2600PAL,,,a5c96b046d5f8b7c96daaa12f925bef8,
Tennis,Activision,Alan Miller,,1981,,,,A2600PAL,,,e3ed4ba3361756970f076e46e9cad1d2,
Tennis,Dactar,Alan Miller,,,,,,A2600PAL,,,30685b9b6ebd9ba71536dd7632a1e3b6,
Tennis,Pet Boat,Alan Miller,,,,,,A2600PAL,,,1f5a2927a0b2faf87540b01d9d7d7fd1,
Tennis,Starsoft,Alan Miller,,,,,,A2600PAL,,,04b488d4eef622d022a0021375e7e339,
Tennis (32-in-1),Atari,Alan Miller,,,,,,A2600PAL,,,16e04823887c547dc24bc70dff693df4,
Test Cartridge,,,,,,,,A2600NTSC,,,5c73693a89b06e5a09f1721a13176f95,
Test Tape - Standalone,Atari,,,,MAO17600,,,A2600NTSC,,,38bd172da8b2a3a176e517c213fcd5a6,
Testcart,,Paul Slocum,,,,,,A2600NTSC,,,f0631c6675033428238408885d7e4fde,
Tetris 2600,,Colin Hughes,Homebrew,,,,,A2600NTSC,,,b0e1ee07fbc73493eac5651a52f90f00,
Tetris 2600,,Colin Hughes,Homebrew,,,,,A2600NTSC,,,cae8f83c06831ec7bb6a3c07e98e9342,
Texas Chainsaw Massacre,Wizard Video Games,,,,8,Extremely Rare,,A2600NTSC,,,5eeb81292992e057b290a5cd196f155d,
The Year 1999,Rainbow Vision,,,,,,,A2600PAL,,,522c9cf684ecd72db2f85053e6f6f720,
This Planet Sucks,,,Homebrew,,,,,A2600NTSC,,,a98b649912b6ca19eaf5c2d2faf38562,
This Planet Sucks,,,Homebrew,,,,,A2600NTSC,,,dfe6aa7443bb813cefa35a4cf4887422,
